date,us_cad_l,mx_cad_l,ca_cad_l,integrated_gas_price
2020-09,0.8435649506922632,1.2325887,0.992,0.9362132054845842
2020-10,0.8340083372739014,1.27346,1.0088823529411763,0.9393860713858486
2020-11,0.8395755281462245,1.3337449,1.0367647058823528,0.9581283202905923
2020-12,0.8746392068494561,1.3586906,1.0838235294117646,0.9923679177357958
2021-01,0.9011717092732359,1.37342,1.1283529411764706,1.0183394906089123
2021-02,0.9550894883249106,1.3539416000000002,1.1780588235294118,1.0571568441803785
2021-03,1.0470001400112539,1.3222431,1.241235294117647,1.1214722474196424
2021-04,1.0332428983914557,1.37192,1.2525882352941178,1.1229128524034309
2021-05,1.0305182793937775,1.3459407,1.2797058823529412,1.1185215238109383
2021-06,1.0610172478014268,1.3627999,1.3039411764705884,1.1456661711080576
2021-07,1.1051466287667648,1.41165,1.3261764705882353,1.1885502871955589
2021-08,1.1153362515553138,1.4223158000000002,1.3310588235294118,1.198304418441661
2021-09,1.1327350009642283,1.4446824,1.3516470588235296,1.2170156865573127
2021-10,1.1867259821261107,1.39932,1.4583529411764704,1.2564074816059245
2021-11,1.237604116859204,1.3939072000000001,1.477058823529412,1.2928102041543839
2021-12,1.2305920362655565,1.4277959999999998,1.4538823529411764,1.2923618606800071
2022-01,1.241133298638721,1.446425,1.5248823529411766,1.3105665443412222
2022-02,1.354434843253439,1.4625401999999998,1.623764705882353,1.4029889008656424
2022-03,1.7070565671882305,1.4526191,1.9168823529411765,1.677151652325879
2022-04,1.7080147196736946,1.483732,2.0035882352941177,1.692715527300998
2022-05,1.8914329491389306,1.5162696,2.223411764705882,1.8495981608678396
2022-06,1.9477878486082087,1.5164672,2.217941176470588,1.888539051672805
2022-07,1.8756174892547968,1.4932558,2.0515882352941177,1.8167422260077695
2022-08,1.7112541574096332,1.5250576,1.9105882352941177,1.693948253716155
2022-09,1.7567916553292777,1.5778030000000003,1.9466470588235296,1.7399794646128472
2022-10,1.8859436626415635,1.6326228,2.1671764705882355,1.8634027709079177
2022-11,1.8670235192489055,1.648989,2.284235294117647,1.8651377928859987
2022-12,1.6926221466102749,1.6541675999999998,2.1143529411764708,1.7271043167448397
2023-01,1.6225209950837556,1.6937752000000001,1.9961176470588236,1.6741315012645113
2023-02,1.5679899931579406,1.7299120000000001,1.871,1.6306753952105584
2023-03,1.5220254080799704,1.7841363000000001,1.759764705882353,1.5982215162442146
2023-04,1.4602121038407994,1.790691,1.6922352941176473,1.5495102021003242
2023-05,1.3982844658834843,1.8340938,1.5880588235294115,1.5044237684713802
2023-06,1.3346236206910214,1.857628,1.5693529411764706,1.4626974286013619
2023-07,1.3552199101286253,1.8869660000000001,1.6363529411764708,1.4896824312076848
2023-08,1.5567521087544016,1.919512,1.8410588235294119,1.6577347584810223
2023-09,1.6315327798045651,1.8924400000000001,1.9328823529411765,1.713849181157313
2023-10,1.6331789423074379,1.8416678,1.920705882352941,1.7036294078505003
2023-11,1.5406015728811409,1.9240115000000002,1.9128235294117646,1.654505753957975
2023-12,1.409303932731197,1.9095922,1.8026470588235293,1.5486958987941908
2024-01,1.3668255222023507,1.9288935,1.749,1.5174565655416454
2024-02,1.4423284135668262,1.9450310999999998,1.8023529411764707,1.5788714036144254
2024-03,1.4385194206175818,1.9939151999999998,1.7802941176470588,1.5837760461970132
2024-04,1.4456385966117276,2.0195339999999997,1.7972352941176473,1.595577347039974
2024-05,1.3802135039533365,2.0238058999999997,1.731470588235294,1.544057691590865
2024-06,1.3477391880932317,1.8794952,1.7201176470588235,1.4913282363711444
2024-07,1.3801073067382397,1.8998046,1.7507058823529411,1.5211066229520618
2024-08,1.334397066632148,1.7944524999999998,1.7081764705882352,1.463786093701327
2024-09,1.2732218702861777,1.7450935999999997,1.6484705882352941,1.4051210880238536
2024-10,1.3026772529263673,1.7667675,1.6837058823529412,1.4335981652837513
2024-11,1.3002541336341373,1.7466834,1.7140588235294119,1.4309204558968374
2024-12,1.3143770423811423,1.791885,1.7078235294117647,1.449223282607976
2025-01,1.38144243292008,1.7934682999999998,1.8014705882352942,1.5058504218675854
2025-02,1.3883879157079417,1.7962847999999998,1.818235294117647,1.5129520304073238
2025-03,1.3598795110701352,1.8324454000000001,1.7661176470588236,1.4950165024549769
2025-04,1.3180922542076023,1.8104325999999997,1.5058823529411764,1.4353393332394393
2025-05,1.2811330873009792,1.8561311999999999,1.4650588235294117,1.4145252834636266
2025-06,1.3000632956535751,1.8788774999999998,1.487941176470588,1.4346139246045613
2025-07,1.3667816432037745,1.9232824000000002,1.5504117647058822,1.4964448067132303
2025-08,1.3651014817417402,1.9461060000000001,1.523,1.497092237219218
2025-09,1.369629287184215,1.9809688,1.5311176470588237,1.508046025734833
2025-10,1.3598677025738295,2.0182194,1.5578823529411765,1.5113395070957982
2025-11,1.419085647261459,2.0364470000000003,1.647529411764706,1.5654022942594918
2025-12,1.318066735175318,2.0459120000000004,1.5654117647058823,1.4883702910933108
2026-01,1.2822889462436036,2.0961795000000003,1.5584117647058824,1.4726793388411108
