refYear,refMonth,partnerDesc,qty,altQty,netWgt,fobvalue,primaryValue
2022,2,Mexico,14699455,14699455,14699455,22006039.831,22006039.831
2022,2,USA,5605508,5605508,5605508,7588238.949,7588238.949
2022,3,Mexico,16530189,16530189,16530189,22859465.261,22859465.261
2022,3,USA,6695191,6695191,6695191,8606943.632,8606943.632
2022,4,Mexico,12288843,12288843,12288843,18178802.131,18178802.131
2022,4,USA,5493093,5493093,5493093,7681024.13,7681024.13
2022,5,Mexico,8077763,8077763,8077763,12282406.43,12282406.43
2022,5,USA,5802637,5802637,5802637,8196633.723,8196633.723
2022,6,Mexico,6800330,6800330,6800330,10368031.466,10368031.466
2022,6,USA,5580478,5580478,5580478,8018059.486,8018059.486
2022,7,Mexico,6736853,6736853,6736853,11111746.811,11111746.811
2022,7,USA,5562161,5562161,5562161,6463125.99,6463125.99
2022,8,Mexico,5780170,5780170,5780170,10226166.401,10226166.401
2022,8,USA,4469556,4469556,4469556,5413491.848,5413491.848
2022,9,Mexico,6656327,6656327,6656327,11428083.381,11428083.381
2022,9,USA,4636752,4636752,4636752,6327136.763,6327136.763
2022,10,Mexico,10675166,10675166,10675166,22435497.851,22435497.851
2022,10,USA,5677577,5677577,5677577,10373883.083,10373883.083
2022,11,Mexico,12190868,12190868,12190868,26685716.718,26685716.718
2022,11,USA,4312258,4312258,4312258,11631587.387,11631587.387
2022,12,Mexico,13853599,13853599,13853599,28448201.596,28448201.596
2022,12,USA,5865546,5865546,5865546,12727588.326,12727588.326
2023,1,Mexico,17934331,17934331,17934331,32168787.549,32168787.549
2023,1,USA,5406116,5406116,5406116,8701841.596,8701841.596
2023,2,Mexico,17180125,17180125,17180125,26045765.241,26045765.241
2023,2,USA,5038895,5038895,5038895,6605729.427,6605729.427
2023,3,Mexico,18786853,18786853,18786853,28147446.908,28147446.908
2023,3,USA,5262257,5262257,5262257,7025963.435,7025963.435
2023,4,Mexico,12876001,12876001,12876001,18976072.32,18976072.32
2023,4,USA,5643176,5643176,5643176,7206809.23,7206809.23
2023,5,Mexico,9344815,9344815,9344815,14829469.718,14829469.718
2023,5,USA,6223735,6223735,6223735,8590724.496,8590724.496
2023,6,Mexico,8095538,8095538,8095538,13370199.917,13370199.917
2023,6,USA,5716662,5716662,5716662,8385735.051,8385735.051
2023,7,Mexico,6719324,6719324,6719324,12294998.501,12294998.501
2023,7,USA,6444741,6444741,6444741,8151607.139,8151607.139
