PERIOD,STATE_ID,STATE,MIN_C,MEAN_C,MAX_C,PRECIPITATION_MM
2016-05-01,15,Estado de México,9.8,18.3,26.9,76.7
2016-05-01,16,Michoacán,14.7,23.8,32.9,27.1
2016-05-01,17,Morelos,17.7,25.7,33.7,95.2
2016-05-01,18,Nayarit,21.2,29.2,37.3,4.2
2016-05-01,19,Nuevo León,19.0,25.8,32.5,93.0
2016-05-01,20,Oaxaca,19.7,26.9,34.1,35.7
2016-05-01,21,Puebla,13.7,21.6,29.5,69.5
2016-05-01,22,Querétaro,16.7,24.7,32.8,71.7
2016-05-01,23,Quintana Roo,25.2,30.6,35.9,27.5
2016-05-01,24,San Luis Potosí,19.9,27.0,34.2,63.3
2016-05-01,25,Sinaloa,18.7,27.4,36.0,5.3
2016-05-01,26,Sonora,13.9,23.9,33.9,0.9
2016-05-01,27,Tabasco,24.8,30.3,35.7,84.0
2016-05-01,28,Tamaulipas,22.4,27.8,33.2,128.2
2016-05-01,29,Tlaxcala,9.8,18.4,26.9,56.3
2016-05-01,30,Veracruz,20.5,26.7,32.9,35.5
2016-05-01,31,Yucatán,22.3,29.8,37.3,50.0
2016-05-01,32,Zacatecas,12.1,21.9,31.8,18.2
2016-06-01,0,Mexico,18.9,26.1,33.2,110.8
2016-06-01,1,Aguascalientes,12.9,20.9,28.9,71.0
2016-06-01,2,Baja California,18.5,25.4,32.3,9.0
2016-06-01,3,Baja California Sur,20.4,27.2,34.0,6.5
2016-06-01,4,Campeche,23.8,29.5,35.2,244.9
2016-06-01,5,Coahuila,20.3,27.3,34.2,45.4
2016-06-01,6,Colima,22.8,28.9,35.0,158.7
2016-06-01,7,Chiapas,21.4,26.8,32.2,281.9
2016-06-01,8,Chihuahua,16.3,24.9,33.5,56.8
2016-06-01,9,Ciudad de México,11.3,17.7,24.2,113.0
2016-06-01,10,Durango,14.6,23.2,31.8,56.7
2016-06-01,11,Guanajuato,14.5,21.9,29.4,104.1
2016-06-01,12,Guerrero,19.2,25.7,32.2,172.2
2016-06-01,13,Hidalgo,15.0,21.5,28.1,130.7
2016-06-01,14,Jalisco,16.8,24.5,32.2,171.7
2016-06-01,15,Estado de México,10.1,16.6,23.0,169.8
2016-06-01,16,Michoacán,14.9,22.3,29.8,123.8
2016-06-01,17,Morelos,16.6,22.9,29.2,400.6
2016-06-01,18,Nayarit,23.1,29.8,36.4,161.5
2016-06-01,19,Nuevo León,20.1,26.8,33.5,58.0
2016-06-01,20,Oaxaca,19.6,25.5,31.4,187.6
2016-06-01,21,Puebla,13.2,19.8,26.4,225.8
2016-06-01,22,Querétaro,15.8,22.3,28.7,132.1
